,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
108,108,-1.4525706221309043,0.008089890882275227,2024-05-18 17:07:42.786026,2024-05-18 17:07:45.651343,0 days 00:00:02.865317,407,0.8723739167002719,0.8125902106079902,2,COMPLETE
109,109,-1.6585404983392018,0.008535121153761484,2024-05-18 17:07:45.651343,2024-05-18 17:07:50.998931,0 days 00:00:05.347588,855,0.3289833145102581,0.1390401654120803,2,COMPLETE
110,110,-0.7132683450244505,0.0065978877972268325,2024-05-18 17:07:50.998931,2024-05-18 17:07:56.379249,0 days 00:00:05.380318,741,0.21932449846126045,0.2912480994604083,2,COMPLETE
111,111,-0.6208038619236946,0.006486144794774386,2024-05-18 17:07:56.379249,2024-05-18 17:08:01.310997,0 days 00:00:04.931748,679,0.1286447614248163,0.5793383577218504,2,COMPLETE
112,112,-1.0127334107696337,0.007330635588666597,2024-05-18 17:08:01.310997,2024-05-18 17:08:03.327051,0 days 00:00:02.016054,77,0.1286447614248163,0.3947185068047774,2,COMPLETE
113,113,-1.608397923181765,0.007915270897413788,2024-05-18 17:08:03.327051,2024-05-18 17:08:06.538783,0 days 00:00:03.211732,523,0.5123777599152304,0.2807353512798374,2,COMPLETE
114,114,-0.6044672115570291,0.006622801946205488,2024-05-18 17:08:06.539808,2024-05-18 17:08:09.424257,0 days 00:00:02.884449,407,0.6741721442127685,0.5513282541379884,2,COMPLETE
115,115,-0.6332424335132746,0.00655698224095355,2024-05-18 17:08:09.424257,2024-05-18 17:08:11.973108,0 days 00:00:02.548851,203,0.06674672831297235,0.43363277337068695,2,COMPLETE
116,116,-0.4130710511011227,0.005947957301452959,2024-05-18 17:08:11.973108,2024-05-18 17:08:15.543905,0 days 00:00:03.570797,612,0.7799650199147381,0.8635801180660567,2,COMPLETE
117,117,-0.9573218413442944,0.0071708587519755925,2024-05-18 17:08:15.544923,2024-05-18 17:08:17.770489,0 days 00:00:02.225566,203,0.06674672831297235,0.24581944651451804,2,COMPLETE
118,118,-1.2172131951665959,0.007506406558846021,2024-05-18 17:08:17.770489,2024-05-18 17:08:20.235963,0 days 00:00:02.465474,271,0.45165363142392556,0.1390401654120803,2,COMPLETE
119,119,-0.6155650179373235,0.006444385725927641,2024-05-18 17:08:20.235963,2024-05-18 17:08:25.650298,0 days 00:00:05.414335,859,0.1286447614248163,0.3947185068047774,2,COMPLETE
120,120,-0.9235323068545067,0.00716762914771196,2024-05-18 17:08:25.650298,2024-05-18 17:08:30.281639,0 days 00:00:04.631341,673,0.6612398723172527,0.3932440487027761,2,COMPLETE
121,121,-0.5361906102383995,0.006247760099342562,2024-05-18 17:08:30.281639,2024-05-18 17:08:33.846702,0 days 00:00:03.565063,612,0.10846122004151115,0.9018713189346913,2,COMPLETE
